timestamps,x_values,y_values,eye_tracker,ivt,idt
12.21,1069,544,fixation,fixation,fixation
12.22,1024,529,saccade,saccade,fixation
12.23,956,489,saccade,saccade,saccade
12.23,952,491,saccade,fixation,fixation
12.24,949,495,fixation,fixation,fixation
12.25,951,493,fixation,fixation,fixation
12.26,899,512,fixation,saccade,fixation
12.27,950,493,fixation,saccade,fixation
12.28,949,497,fixation,fixation,fixation
12.28,897,514,fixation,saccade,fixation
12.29,951,490,fixation,saccade,fixation
12.30,950,486,fixation,fixation,fixation
12.31,895,507,fixation,saccade,fixation
12.32,951,485,fixation,saccade,fixation
12.33,949,486,fixation,fixation,fixation
12.33,896,500,fixation,saccade,fixation
12.34,950,489,fixation,saccade,fixation
12.35,950,490,fixation,fixation,fixation
12.36,893,513,fixation,saccade,fixation
12.37,949,485,fixation,saccade,fixation
12.38,949,481,fixation,fixation,fixation
12.38,900,510,fixation,saccade,fixation
12.39,949,481,fixation,saccade,fixation
12.40,946,476,fixation,fixation,fixation
12.41,947,484,fixation,fixation,fixation
12.42,944,486,fixation,fixation,fixation
12.43,933,482,fixation,fixation,fixation
12.43,873,500,fixation,saccade,saccade
12.44,880,486,saccade,fixation,saccade
12.45,743,463,saccade,saccade,saccade
12.46,744,466,saccade,fixation,fixation
12.47,680,502,fixation,saccade,fixation
12.48,749,472,fixation,saccade,fixation
12.48,745,479,fixation,fixation,fixation
12.49,685,511,fixation,saccade,fixation
12.50,754,470,fixation,saccade,fixation
12.51,685,513,fixation,saccade,fixation
12.52,681,509,fixation,fixation,fixation
12.53,753,470,fixation,saccade,fixation
12.53,753,468,fixation,fixation,fixation
12.54,744,484,fixation,fixation,fixation
12.55,744,483,fixation,fixation,fixation
12.56,741,482,fixation,fixation,fixation
12.58,745,485,fixation,fixation,fixation
12.59,746,490,fixation,fixation,fixation
12.60,745,493,fixation,fixation,fixation
12.61,743,490,fixation,fixation,fixation
12.62,739,489,fixation,fixation,fixation
12.63,736,491,fixation,fixation,fixation
12.63,738,490,fixation,fixation,fixation
12.64,743,485,fixation,fixation,fixation
12.65,739,482,fixation,fixation,fixation
12.66,729,472,fixation,fixation,fixation
12.67,718,455,saccade,fixation,fixation
12.68,690,375,saccade,saccade,saccade
12.68,698,358,saccade,fixation,fixation
12.69,700,352,saccade,fixation,fixation
12.70,696,347,fixation,fixation,fixation
12.71,698,355,fixation,fixation,fixation
12.72,694,349,fixation,fixation,fixation
12.73,697,303,fixation,saccade,fixation
12.73,697,300,fixation,fixation,fixation
12.74,695,323,fixation,fixation,fixation
12.75,696,331,fixation,fixation,fixation
12.76,696,330,fixation,fixation,fixation
12.77,699,336,fixation,fixation,fixation
12.78,697,340,fixation,fixation,fixation
12.78,697,346,fixation,fixation,fixation
12.79,706,336,fixation,fixation,fixation
12.80,706,343,fixation,fixation,fixation
12.81,706,341,fixation,fixation,fixation
12.82,702,340,fixation,fixation,fixation
12.83,700,345,fixation,fixation,fixation
12.83,701,344,fixation,fixation,fixation
12.84,701,346,fixation,fixation,fixation
12.85,703,342,fixation,fixation,fixation
12.88,713,378,fixation,fixation,fixation
12.88,719,345,fixation,fixation,fixation
12.89,742,337,saccade,fixation,fixation
12.90,744,276,saccade,saccade,saccade
12.91,743,260,saccade,fixation,fixation
12.92,742,257,fixation,fixation,fixation
12.93,741,271,fixation,fixation,fixation
12.93,738,268,fixation,fixation,fixation
12.94,740,269,fixation,fixation,fixation
12.95,740,264,fixation,fixation,fixation
12.96,742,265,fixation,fixation,fixation
12.97,742,263,fixation,fixation,fixation
12.98,742,260,fixation,fixation,fixation
12.98,740,258,fixation,fixation,fixation
12.99,741,261,fixation,fixation,fixation
13.00,743,265,fixation,fixation,fixation
13.01,743,268,fixation,fixation,fixation
13.02,739,262,fixation,fixation,fixation
13.03,737,265,fixation,fixation,fixation
13.03,736,266,fixation,fixation,fixation
13.04,738,267,fixation,fixation,fixation
13.05,740,269,fixation,fixation,fixation
13.06,742,268,fixation,fixation,fixation
13.07,742,271,fixation,fixation,fixation
13.08,740,258,fixation,fixation,fixation
13.08,738,267,fixation,fixation,fixation
13.09,738,268,fixation,fixation,fixation
13.10,735,260,fixation,fixation,fixation
13.11,741,259,fixation,fixation,fixation
13.12,739,258,fixation,fixation,fixation
13.13,739,256,fixation,fixation,fixation
13.13,738,261,fixation,fixation,fixation
13.14,737,259,fixation,fixation,fixation
13.15,736,258,fixation,fixation,fixation
13.16,737,256,fixation,fixation,fixation
13.17,735,257,fixation,fixation,fixation
13.18,738,259,fixation,fixation,fixation
13.18,737,257,fixation,fixation,fixation
13.19,740,259,fixation,fixation,fixation
13.20,739,257,fixation,fixation,fixation
13.21,740,257,fixation,fixation,fixation
13.22,740,251,fixation,fixation,fixation
13.23,739,253,fixation,fixation,fixation
13.23,740,253,fixation,fixation,fixation
13.24,743,258,fixation,fixation,fixation
13.25,743,257,fixation,fixation,fixation
13.26,742,258,fixation,fixation,fixation
13.27,742,261,fixation,fixation,fixation
13.28,741,263,fixation,fixation,fixation
13.28,745,262,fixation,fixation,fixation
13.29,742,259,fixation,fixation,fixation
13.30,744,252,fixation,fixation,fixation
13.31,743,249,fixation,fixation,fixation
13.32,748,249,fixation,fixation,fixation
13.33,745,263,fixation,fixation,fixation
13.33,744,259,fixation,fixation,fixation
13.34,745,263,fixation,fixation,fixation
13.35,744,256,fixation,fixation,fixation
13.36,747,263,fixation,fixation,fixation
13.37,763,255,fixation,fixation,fixation
13.38,780,292,saccade,saccade,fixation
13.38,812,312,saccade,saccade,fixation
13.39,839,331,saccade,fixation,saccade
13.40,843,333,saccade,fixation,fixation
13.41,840,336,fixation,fixation,fixation
13.42,829,321,fixation,fixation,fixation
13.43,830,320,fixation,fixation,fixation
13.43,831,320,fixation,fixation,fixation
13.44,825,321,fixation,fixation,fixation
13.45,817,330,fixation,fixation,fixation
13.46,817,333,fixation,fixation,fixation
13.47,828,336,fixation,fixation,fixation
13.49,834,325,fixation,fixation,fixation
13.50,832,324,fixation,fixation,fixation
13.51,832,325,fixation,fixation,fixation
13.52,833,330,fixation,fixation,fixation
13.53,832,334,fixation,fixation,fixation
13.53,834,330,fixation,fixation,fixation
13.54,838,334,fixation,fixation,fixation
13.55,827,311,fixation,fixation,fixation
13.56,828,313,fixation,fixation,fixation
13.57,837,328,fixation,fixation,fixation
13.58,838,332,saccade,fixation,fixation
13.58,841,330,outlier,fixation,fixation
13.59,834,328,outlier,fixation,fixation
13.60,832,332,outlier,fixation,fixation
13.61,827,324,outlier,fixation,fixation
13.62,827,389,saccade,saccade,fixation
13.63,805,464,saccade,saccade,saccade
13.63,789,551,saccade,saccade,fixation
13.64,780,588,saccade,saccade,fixation
13.65,780,598,saccade,fixation,fixation
13.66,782,590,fixation,fixation,fixation
13.67,781,593,fixation,fixation,fixation
13.68,781,591,fixation,fixation,fixation
13.68,786,598,fixation,fixation,fixation
13.69,785,586,fixation,fixation,fixation
13.70,787,593,fixation,fixation,fixation
13.71,783,595,fixation,fixation,fixation
13.72,779,602,fixation,fixation,fixation
13.73,778,602,fixation,fixation,fixation
13.73,828,572,fixation,saccade,fixation
13.74,779,596,fixation,saccade,fixation
13.75,781,592,fixation,fixation,fixation
13.76,782,588,fixation,fixation,fixation
13.77,776,591,fixation,fixation,fixation
13.78,782,588,fixation,fixation,fixation
13.78,780,590,fixation,fixation,fixation
13.79,781,590,fixation,fixation,fixation
13.80,779,591,fixation,fixation,fixation
13.81,788,588,fixation,fixation,fixation
13.82,780,599,fixation,fixation,fixation
13.83,774,599,fixation,fixation,fixation
13.83,775,590,fixation,fixation,fixation
13.84,776,591,fixation,fixation,fixation
13.85,779,591,fixation,fixation,fixation
13.86,782,595,fixation,fixation,fixation
13.87,785,596,fixation,fixation,fixation
13.88,790,592,fixation,fixation,fixation
13.88,790,590,fixation,fixation,fixation
13.89,790,589,fixation,fixation,fixation
13.90,784,586,fixation,fixation,fixation
13.91,781,595,fixation,fixation,fixation
13.92,780,593,fixation,fixation,fixation
13.93,782,594,fixation,fixation,fixation
13.93,785,594,fixation,fixation,fixation
13.94,783,599,fixation,fixation,fixation
13.95,784,600,fixation,fixation,fixation
13.96,784,601,fixation,fixation,fixation
13.97,831,575,fixation,saccade,fixation
13.99,786,600,fixation,fixation,fixation
14.00,787,599,fixation,fixation,fixation
14.01,779,597,fixation,fixation,fixation
14.02,757,592,saccade,fixation,fixation
14.03,718,579,saccade,saccade,saccade
14.03,711,577,saccade,fixation,fixation
14.04,714,578,fixation,fixation,fixation
14.05,718,585,fixation,fixation,fixation
14.06,720,587,fixation,fixation,fixation
14.07,720,585,fixation,fixation,fixation
14.08,721,574,fixation,fixation,fixation
14.08,716,578,fixation,fixation,fixation
14.09,714,577,fixation,fixation,fixation
14.10,715,578,fixation,fixation,fixation
14.11,716,578,fixation,fixation,fixation
14.12,716,576,fixation,fixation,fixation
14.13,713,576,fixation,fixation,fixation
14.13,715,577,fixation,fixation,fixation
14.14,715,571,fixation,fixation,fixation
14.15,719,577,fixation,fixation,fixation
14.17,719,577,fixation,saccade,fixation
14.18,719,578,fixation,fixation,fixation
14.18,717,567,fixation,fixation,fixation
14.21,671,595,fixation,saccade,fixation
14.22,717,565,fixation,saccade,fixation
14.23,715,563,fixation,fixation,fixation
14.23,668,586,fixation,saccade,fixation
14.24,714,563,fixation,saccade,fixation
14.25,715,563,fixation,fixation,fixation
14.26,674,593,fixation,saccade,fixation
14.27,719,569,fixation,saccade,fixation
14.28,715,568,fixation,fixation,fixation
14.28,679,586,fixation,saccade,fixation
14.29,732,546,saccade,saccade,fixation
14.30,758,507,saccade,saccade,saccade
14.31,759,504,saccade,fixation,fixation
14.32,756,519,fixation,fixation,fixation
14.33,755,514,fixation,fixation,fixation
14.33,755,512,fixation,fixation,fixation
14.34,754,510,fixation,fixation,fixation
14.35,752,517,fixation,fixation,fixation
14.36,750,518,fixation,fixation,fixation
14.37,752,513,fixation,fixation,fixation
14.38,752,515,fixation,fixation,fixation
14.38,755,517,fixation,fixation,fixation
14.39,754,507,fixation,fixation,fixation
14.40,756,517,fixation,fixation,fixation
14.41,755,519,fixation,fixation,fixation
14.42,753,521,fixation,fixation,fixation
14.43,753,523,fixation,fixation,fixation
14.43,753,519,fixation,fixation,fixation
14.44,755,510,fixation,fixation,fixation
14.45,751,515,fixation,fixation,fixation
14.46,753,519,fixation,fixation,fixation
14.47,750,519,fixation,fixation,fixation
14.48,752,519,fixation,fixation,fixation
14.48,745,511,fixation,fixation,fixation
14.49,752,507,fixation,fixation,fixation
14.50,750,509,fixation,fixation,fixation
14.51,755,512,fixation,fixation,fixation
14.53,747,518,fixation,fixation,fixation
14.54,751,516,fixation,fixation,fixation
14.55,751,517,fixation,fixation,fixation
14.56,754,520,fixation,fixation,fixation
14.57,751,522,fixation,fixation,fixation
14.58,738,527,fixation,fixation,fixation
14.58,735,520,fixation,fixation,fixation
14.59,732,540,saccade,fixation,fixation
14.60,736,542,fixation,fixation,fixation
14.61,729,536,fixation,fixation,fixation
14.62,732,538,fixation,fixation,fixation
14.63,730,540,fixation,fixation,fixation
14.63,682,562,fixation,saccade,saccade
14.64,729,540,fixation,saccade,fixation
14.65,732,538,fixation,fixation,fixation
14.66,735,540,fixation,fixation,fixation
14.67,739,538,fixation,fixation,fixation
14.68,738,542,fixation,fixation,fixation
14.68,697,561,fixation,saccade,fixation
14.69,736,545,fixation,saccade,fixation
14.70,734,538,fixation,fixation,fixation
14.71,684,553,fixation,saccade,fixation
14.72,732,527,fixation,saccade,fixation
14.73,734,528,fixation,fixation,fixation
14.73,736,541,fixation,fixation,fixation
14.74,738,534,fixation,fixation,fixation
14.75,737,535,fixation,fixation,fixation
14.76,736,532,fixation,fixation,fixation
14.77,740,529,fixation,fixation,fixation
14.78,742,529,fixation,fixation,fixation
14.78,691,567,fixation,saccade,fixation
14.79,737,533,fixation,saccade,fixation
14.80,735,533,fixation,fixation,fixation
14.81,678,558,fixation,saccade,fixation
14.82,741,535,fixation,saccade,fixation
14.83,736,538,fixation,fixation,fixation
14.83,739,541,fixation,fixation,fixation
14.84,737,544,fixation,fixation,fixation
14.85,742,543,fixation,fixation,fixation
14.88,739,539,fixation,fixation,fixation
14.88,685,559,fixation,saccade,fixation
14.89,737,539,fixation,saccade,fixation
14.90,740,536,fixation,fixation,fixation
14.91,738,535,fixation,fixation,fixation
14.92,737,532,fixation,fixation,fixation
14.93,734,534,fixation,fixation,fixation
14.93,740,536,fixation,fixation,fixation
14.94,741,526,fixation,fixation,fixation
14.95,739,529,fixation,fixation,fixation
14.96,734,534,fixation,fixation,fixation
14.97,738,536,fixation,fixation,fixation
14.98,741,527,fixation,fixation,fixation
14.98,739,529,fixation,fixation,fixation
14.99,739,530,fixation,fixation,fixation
15.00,739,544,fixation,fixation,fixation
15.01,687,566,fixation,saccade,fixation
15.02,738,548,fixation,saccade,fixation
15.03,741,547,fixation,fixation,fixation
15.03,743,545,fixation,fixation,fixation
15.04,742,542,fixation,fixation,fixation
15.05,738,539,fixation,fixation,fixation
15.06,740,536,fixation,fixation,fixation
15.07,743,538,fixation,fixation,fixation
15.08,742,538,fixation,fixation,fixation
15.08,743,532,fixation,fixation,fixation
15.09,743,534,fixation,fixation,fixation
15.10,745,536,fixation,fixation,fixation
15.11,744,536,fixation,fixation,fixation
15.12,746,535,fixation,fixation,fixation
15.13,756,521,fixation,fixation,fixation
15.13,721,523,saccade,saccade,fixation
15.14,785,484,saccade,saccade,fixation
15.15,791,484,saccade,fixation,fixation
15.16,783,488,fixation,fixation,fixation
15.17,787,483,fixation,fixation,fixation
15.18,782,484,fixation,fixation,fixation
15.18,787,488,fixation,fixation,fixation
15.19,790,491,fixation,fixation,fixation
15.20,791,488,fixation,fixation,fixation
15.21,745,514,fixation,saccade,fixation
15.22,788,489,fixation,saccade,fixation
15.23,786,485,fixation,fixation,fixation
15.23,745,509,fixation,saccade,fixation
15.24,791,482,fixation,saccade,fixation
15.25,794,483,fixation,fixation,fixation
15.26,791,490,fixation,fixation,fixation
15.27,786,485,fixation,fixation,fixation
15.28,789,483,fixation,fixation,fixation
15.28,755,513,fixation,saccade,fixation
15.29,791,483,fixation,saccade,fixation
15.30,790,486,fixation,fixation,fixation
15.31,789,489,fixation,fixation,fixation
15.32,791,488,fixation,fixation,fixation
15.33,789,483,fixation,fixation,fixation
15.33,750,511,fixation,saccade,fixation
15.34,793,491,fixation,saccade,fixation
15.35,798,489,fixation,fixation,fixation
15.36,806,482,fixation,fixation,saccade
15.37,816,478,saccade,fixation,fixation
15.38,818,481,fixation,fixation,fixation
15.38,818,484,fixation,fixation,fixation
15.39,821,482,fixation,fixation,fixation
15.40,824,474,fixation,fixation,fixation
15.41,828,478,fixation,fixation,fixation
15.42,824,477,fixation,fixation,fixation
15.43,816,469,fixation,fixation,fixation
15.43,771,511,fixation,saccade,fixation
15.44,819,488,fixation,saccade,fixation
15.45,820,483,fixation,fixation,fixation
15.47,822,493,fixation,fixation,fixation
15.57,836,505,fixation,fixation,fixation
15.58,824,431,saccade,saccade,fixation
15.58,879,433,saccade,saccade,fixation
15.59,876,440,fixation,fixation,fixation
15.60,872,426,fixation,fixation,fixation
15.61,877,426,fixation,fixation,fixation
15.62,869,413,fixation,fixation,fixation
15.63,864,427,fixation,fixation,fixation
15.63,861,424,fixation,fixation,fixation
15.64,865,431,fixation,fixation,fixation
15.65,864,434,fixation,fixation,fixation
15.66,869,425,fixation,fixation,fixation
15.67,872,437,fixation,fixation,fixation
15.68,877,431,fixation,fixation,fixation
15.68,877,432,fixation,fixation,fixation
15.69,871,430,fixation,fixation,fixation
15.70,869,428,fixation,fixation,fixation
15.71,870,430,fixation,fixation,fixation
15.72,873,438,fixation,fixation,fixation
15.73,872,440,fixation,fixation,fixation
15.73,870,435,fixation,fixation,fixation
15.74,890,423,saccade,fixation,saccade
15.75,916,421,saccade,fixation,saccade
15.76,972,403,saccade,saccade,saccade
15.77,1026,379,saccade,saccade,saccade
15.78,1088,340,saccade,saccade,fixation
15.78,1038,367,fixation,saccade,fixation
15.79,1034,368,fixation,fixation,fixation
15.80,1098,348,fixation,saccade,fixation
15.81,1037,370,fixation,saccade,fixation
15.82,1040,374,fixation,fixation,fixation
15.83,1094,346,fixation,saccade,fixation
15.83,1042,378,fixation,saccade,fixation
15.84,1043,373,fixation,fixation,fixation
15.85,1047,367,fixation,fixation,fixation
15.86,1048,367,fixation,fixation,fixation
15.87,1034,383,fixation,fixation,fixation
15.88,1034,385,fixation,fixation,fixation
15.88,1036,388,fixation,fixation,fixation
15.89,1049,372,fixation,fixation,fixation
15.90,1042,381,fixation,fixation,fixation
15.91,1043,379,fixation,fixation,fixation
15.92,1037,373,fixation,fixation,fixation
15.93,1041,370,fixation,fixation,fixation
15.93,1040,366,fixation,fixation,fixation
15.94,1039,364,fixation,fixation,fixation
15.95,1041,358,fixation,fixation,fixation
15.96,1046,359,fixation,fixation,fixation
15.97,1045,363,fixation,fixation,fixation
15.98,1041,359,fixation,fixation,fixation
15.98,1042,364,fixation,fixation,fixation
15.99,1032,389,fixation,fixation,fixation
16.00,1034,389,fixation,fixation,fixation
16.01,1037,389,fixation,fixation,fixation
16.02,1049,369,saccade,fixation,fixation
16.03,1049,374,saccade,fixation,fixation
16.03,1050,376,fixation,fixation,fixation
16.04,1047,372,fixation,fixation,fixation
16.05,1046,374,fixation,fixation,fixation
16.06,1045,370,fixation,fixation,fixation
16.07,1045,373,fixation,fixation,fixation
16.08,1044,371,fixation,fixation,fixation
16.08,1045,370,fixation,fixation,fixation
16.09,1045,362,fixation,fixation,fixation
16.10,1044,357,fixation,fixation,fixation
16.11,1040,362,fixation,fixation,fixation
16.12,1042,369,fixation,fixation,fixation
16.13,1045,365,fixation,fixation,fixation
16.13,1046,358,fixation,fixation,fixation
16.14,1048,363,fixation,fixation,fixation
16.15,1048,364,fixation,fixation,fixation
16.16,1047,365,fixation,fixation,fixation
16.17,1028,394,fixation,fixation,fixation
16.18,1037,387,fixation,fixation,fixation
16.18,1039,392,fixation,fixation,fixation
16.19,1037,376,fixation,fixation,fixation
16.20,1044,378,fixation,fixation,fixation
16.21,1045,378,fixation,fixation,fixation
16.22,1036,363,fixation,fixation,fixation
16.23,1031,347,saccade,fixation,fixation
16.23,1014,319,saccade,fixation,saccade
16.24,1029,306,saccade,fixation,fixation
16.25,1029,305,fixation,fixation,fixation
16.26,989,331,fixation,saccade,fixation
16.27,1019,303,fixation,saccade,fixation
16.28,1013,309,fixation,fixation,fixation
16.28,970,326,fixation,saccade,fixation
16.29,1028,299,fixation,saccade,fixation
16.30,1035,284,fixation,fixation,fixation
16.31,1025,301,fixation,fixation,fixation
16.32,1026,303,fixation,fixation,fixation
16.33,1028,304,fixation,fixation,fixation
16.33,1017,291,fixation,fixation,fixation
16.34,1011,278,saccade,fixation,fixation
16.35,1012,282,outlier,fixation,fixation
16.36,1027,295,saccade,fixation,fixation
16.37,1029,301,saccade,fixation,fixation
16.38,1024,307,outlier,fixation,fixation
16.38,1003,291,saccade,fixation,fixation
16.39,998,283,saccade,fixation,fixation
16.40,997,277,outlier,fixation,fixation
16.41,1022,296,saccade,fixation,fixation
16.42,1022,299,saccade,fixation,fixation
16.43,1028,291,fixation,fixation,fixation
16.43,1023,288,fixation,fixation,fixation
16.44,1024,288,fixation,fixation,fixation
16.45,1022,290,fixation,fixation,fixation
16.46,1021,291,fixation,fixation,fixation
16.47,1024,303,fixation,fixation,fixation
16.48,1020,305,fixation,fixation,fixation
16.48,977,319,fixation,saccade,fixation
16.49,1008,293,fixation,saccade,fixation
16.50,958,274,saccade,saccade,saccade
16.51,942,273,saccade,fixation,saccade
16.52,882,306,saccade,saccade,saccade
16.53,862,313,saccade,fixation,saccade
16.53,856,312,saccade,fixation,fixation
16.54,869,318,fixation,fixation,fixation
16.55,862,308,fixation,fixation,fixation
16.56,864,323,fixation,fixation,fixation
16.57,862,328,fixation,fixation,fixation
16.58,860,327,fixation,fixation,fixation
16.58,868,323,fixation,fixation,fixation
16.59,862,316,fixation,fixation,fixation
16.60,860,325,fixation,fixation,fixation
16.61,818,343,fixation,saccade,fixation
16.62,860,326,fixation,saccade,fixation
16.63,858,321,fixation,fixation,fixation
16.63,858,315,fixation,fixation,fixation
16.64,851,308,fixation,fixation,fixation
16.65,848,317,fixation,fixation,fixation
16.66,848,312,fixation,fixation,fixation
16.67,848,311,fixation,fixation,fixation
16.68,848,315,fixation,fixation,fixation
16.68,847,318,fixation,fixation,fixation
16.69,843,320,fixation,fixation,fixation
16.70,848,306,fixation,fixation,fixation
16.71,851,309,fixation,fixation,fixation
16.73,848,307,fixation,fixation,fixation
16.74,849,313,fixation,fixation,fixation
16.75,843,324,fixation,fixation,fixation
16.76,845,327,fixation,fixation,fixation
16.77,831,325,fixation,fixation,fixation
16.78,804,316,saccade,fixation,fixation
16.78,734,302,saccade,saccade,saccade
16.79,772,307,saccade,saccade,fixation
16.80,778,307,fixation,fixation,fixation
16.81,768,313,fixation,fixation,fixation
16.82,769,309,fixation,fixation,fixation
16.83,763,310,fixation,fixation,fixation
16.83,759,306,fixation,fixation,fixation
16.84,765,307,fixation,fixation,fixation
16.85,764,320,fixation,fixation,fixation
16.86,769,320,fixation,fixation,fixation
16.87,769,324,fixation,fixation,fixation
16.88,772,315,fixation,fixation,fixation
16.88,765,312,fixation,fixation,fixation
16.89,758,309,fixation,fixation,fixation
16.90,753,318,fixation,fixation,fixation
16.91,758,316,fixation,fixation,fixation
16.92,761,312,fixation,fixation,fixation
16.93,764,306,fixation,fixation,fixation
16.93,762,306,fixation,fixation,fixation
16.94,767,313,fixation,fixation,fixation
16.95,766,311,fixation,fixation,fixation
16.96,765,312,fixation,fixation,fixation
16.97,759,309,fixation,fixation,fixation
16.98,755,315,fixation,fixation,fixation
16.98,758,316,fixation,fixation,fixation
16.99,763,321,fixation,fixation,fixation
17.00,770,313,fixation,fixation,fixation
17.01,770,311,fixation,fixation,fixation
17.02,769,313,fixation,fixation,fixation
17.03,765,316,fixation,fixation,fixation
17.03,761,316,fixation,fixation,fixation
17.04,763,318,fixation,fixation,fixation
17.05,761,322,fixation,fixation,fixation
17.06,766,327,fixation,fixation,fixation
17.07,778,310,fixation,fixation,fixation
17.08,803,325,saccade,fixation,fixation
17.08,803,344,saccade,fixation,fixation
17.09,855,343,saccade,saccade,saccade
17.10,855,353,saccade,fixation,fixation
17.11,846,373,outlier,fixation,fixation
17.12,881,351,saccade,saccade,fixation
17.13,886,338,saccade,fixation,fixation
17.13,825,359,fixation,saccade,fixation
17.14,885,345,fixation,saccade,fixation
17.15,884,351,fixation,fixation,fixation
17.16,882,368,fixation,fixation,fixation
17.17,882,361,fixation,fixation,fixation
17.18,888,377,fixation,fixation,fixation
17.18,883,363,fixation,fixation,fixation
17.19,879,360,fixation,fixation,fixation
17.20,888,353,fixation,fixation,fixation
17.21,888,354,fixation,fixation,fixation
17.22,898,364,fixation,fixation,fixation
17.23,896,364,fixation,fixation,fixation
17.23,895,360,fixation,fixation,fixation
17.24,885,347,fixation,fixation,fixation
17.25,883,346,fixation,fixation,fixation
17.26,848,385,fixation,saccade,fixation
17.27,887,357,fixation,saccade,fixation
17.28,886,359,fixation,fixation,fixation
17.28,839,387,fixation,saccade,fixation
17.29,881,333,fixation,saccade,fixation
17.30,904,371,saccade,saccade,fixation
17.31,836,361,saccade,saccade,fixation
17.32,904,378,outlier,saccade,fixation
17.33,886,334,saccade,saccade,fixation
17.33,883,353,saccade,fixation,fixation
17.34,884,361,outlier,fixation,fixation
17.35,878,356,outlier,fixation,fixation
17.36,856,362,saccade,fixation,fixation
17.37,841,366,saccade,fixation,fixation
17.38,832,369,saccade,fixation,fixation
17.38,825,378,fixation,fixation,fixation
17.39,832,365,fixation,fixation,fixation
17.40,833,359,fixation,fixation,fixation
17.41,833,351,fixation,fixation,fixation
17.42,829,348,fixation,fixation,fixation
17.43,826,354,fixation,fixation,fixation
17.43,828,357,fixation,fixation,fixation
17.44,828,356,fixation,fixation,fixation
17.45,832,359,fixation,fixation,fixation
17.46,822,338,saccade,fixation,fixation
17.47,818,319,saccade,fixation,fixation
17.48,770,230,saccade,saccade,saccade
17.48,769,231,saccade,fixation,fixation
17.49,774,235,fixation,fixation,fixation
17.50,777,237,fixation,fixation,fixation
17.51,778,239,fixation,fixation,fixation
17.52,775,239,fixation,fixation,fixation
17.53,766,254,fixation,fixation,fixation
17.53,767,252,fixation,fixation,fixation
17.54,767,249,fixation,fixation,fixation
17.55,776,233,fixation,fixation,fixation
17.56,776,236,fixation,fixation,fixation
17.57,779,238,fixation,fixation,fixation
17.58,776,249,fixation,fixation,fixation
17.58,776,246,fixation,fixation,fixation
17.59,775,248,fixation,fixation,fixation
17.62,775,260,fixation,fixation,fixation
17.63,775,259,fixation,fixation,fixation
17.63,774,258,fixation,fixation,fixation
17.64,761,255,fixation,fixation,fixation
17.65,741,245,saccade,fixation,fixation
17.66,719,247,saccade,fixation,fixation
17.67,713,249,saccade,fixation,fixation
17.68,713,245,fixation,fixation,fixation
17.68,719,246,fixation,fixation,fixation
17.69,720,242,fixation,fixation,fixation
17.70,717,249,fixation,fixation,fixation
17.71,714,247,fixation,fixation,fixation
17.72,710,251,fixation,fixation,fixation
17.73,709,253,fixation,fixation,fixation
17.73,709,254,fixation,fixation,fixation
17.74,713,255,fixation,fixation,fixation
17.75,714,258,fixation,fixation,fixation
17.76,715,258,fixation,fixation,fixation
17.77,718,256,fixation,fixation,fixation
17.78,720,247,fixation,fixation,fixation
17.78,719,246,fixation,fixation,fixation
17.79,716,247,fixation,fixation,fixation
17.80,714,247,fixation,fixation,fixation
17.81,717,252,fixation,fixation,fixation
17.82,713,254,fixation,fixation,fixation
17.83,714,254,fixation,fixation,fixation
17.83,715,254,fixation,fixation,fixation
17.84,720,255,fixation,fixation,fixation
17.85,716,259,fixation,fixation,fixation
17.86,716,260,fixation,fixation,fixation
17.87,714,259,fixation,fixation,fixation
17.88,714,246,fixation,fixation,fixation
17.88,715,247,fixation,fixation,fixation
17.89,715,263,fixation,fixation,fixation
17.90,715,260,fixation,fixation,fixation
17.91,713,254,fixation,fixation,fixation
17.92,716,253,fixation,fixation,fixation
17.93,717,252,fixation,fixation,fixation
17.93,717,256,fixation,fixation,fixation
17.94,717,254,fixation,fixation,fixation
17.97,717,252,fixation,fixation,fixation
17.98,718,253,fixation,fixation,fixation
17.98,720,258,fixation,fixation,fixation
17.99,721,262,fixation,fixation,fixation
18.00,716,256,fixation,fixation,fixation
18.01,717,255,fixation,fixation,fixation
18.02,717,264,fixation,fixation,fixation
18.03,715,264,fixation,fixation,fixation
18.03,712,261,fixation,fixation,fixation
18.04,712,259,fixation,fixation,fixation
18.05,716,251,fixation,fixation,fixation
18.06,717,248,fixation,fixation,fixation
18.07,718,248,fixation,fixation,fixation
18.08,716,251,fixation,fixation,fixation
18.08,715,252,fixation,fixation,fixation
18.09,713,260,fixation,fixation,fixation
18.10,710,263,fixation,fixation,fixation
18.11,709,262,fixation,fixation,fixation
18.12,709,247,fixation,fixation,fixation
18.13,710,252,fixation,fixation,fixation
18.13,711,256,fixation,fixation,fixation
18.14,707,239,fixation,fixation,fixation
18.15,712,259,fixation,fixation,fixation
18.16,711,255,fixation,fixation,fixation
18.17,706,257,fixation,fixation,fixation
18.18,708,258,fixation,fixation,fixation
18.18,708,260,fixation,fixation,fixation
18.19,712,260,fixation,fixation,fixation
18.20,713,256,fixation,fixation,fixation
18.21,713,258,fixation,fixation,fixation
18.22,713,256,fixation,fixation,fixation
18.23,714,253,fixation,fixation,fixation
18.23,714,252,fixation,fixation,fixation
18.24,715,250,fixation,fixation,fixation
18.25,713,259,fixation,fixation,fixation
18.26,714,262,fixation,fixation,fixation
